 Time (s),Altitude (ft),Vertical velocity (ft/s),Total velocity (ft/s),Mass (lb),Mach number (?)
2.1485,570.09,494.76,509.57,40.212,0.45887
2.1706,581.03,493.08,507.9,40.212,0.45738
2.1919,591.51,491.48,506.3,40.212,0.45595
2.2169,603.76,489.61,504.44,40.212,0.45433
2.2543,622.04,486.85,501.66,40.212,0.45195
2.3043,646.29,483.21,497.97,40.212,0.44882
2.3266,657.04,481.61,496.34,40.212,0.44738
2.3499,668.26,479.93,494.64,40.212,0.44588
2.3815,683.38,477.67,492.35,40.212,0.44385
2.4289,705.92,474.27,488.95,40.212,0.44075
2.4625,721.82,471.87,486.54,40.212,0.43859
2.4869,733.33,470.12,484.81,40.212,0.43708
2.5144,746.23,468.18,482.86,40.212,0.4354
2.5557,765.49,465.29,479.96,40.212,0.43289
2.6057,788.66,461.84,476.48,40.212,0.42985
2.637,803.08,459.7,474.32,40.212,0.42787
2.6701,818.26,457.45,472.04,40.212,0.42586
2.7179,840.08,454.21,468.77,40.212,0.42301
2.7679,862.71,450.83,465.39,40.212,0.4199
2.8039,878.87,448.4,462.97,40.212,0.41764
2.8331,891.94,446.44,461.02,40.212,0.41595
2.8755,910.81,443.63,458.2,40.212,0.41343
2.9255,932.91,440.36,454.91,40.212,0.41043
2.9755,954.85,437.12,451.65,40.212,0.40749
3.0125,970.98,434.75,449.25,40.212,0.40534
3.0625,992.64,431.55,446.03,40.212,0.40246
3.1125,1014.1,428.36,442.84,40.212,0.39961
3.1625,1035.5,425.18,439.68,40.212,0.39667
3.2015,1052,422.72,437.23,40.212,0.39448
3.2515,1073,419.61,434.11,40.212,0.39178
3.3015,1094,416.53,431.02,40.212,0.38917
3.34,1109.9,414.18,428.65,40.212,0.38701
3.3835,1127.9,411.54,425.99,40.212,0.38476
3.4335,1148.4,408.52,422.96,40.212,0.38209
3.4835,1168.8,405.5,419.95,40.212,0.37937
3.528,1186.8,402.82,417.29,40.212,0.37706
3.5737,1205.1,400.1,414.58,40.212,0.3747
3.6237,1225,397.15,411.63,40.212,0.37208
3.6737,1244.8,394.23,408.71,40.212,0.36944
3.7237,1264.4,391.34,405.81,40.212,0.36685
3.7737,1283.9,388.47,402.93,40.212,0.36433
3.8237,1303.3,385.61,400.06,40.212,0.36178
3.8737,1322.5,382.76,397.22,40.212,0.35926
3.9237,1341.6,379.92,394.4,40.212,0.35676
3.9737,1360.5,377.1,391.6,40.212,0.35431
4.0237,1379.3,374.31,388.82,40.212,0.35191
4.0737,1397.9,371.55,386.06,40.212,0.34949
4.1237,1416.4,368.81,383.32,40.212,0.34695
4.1737,1434.8,366.08,380.59,40.212,0.34455
4.2237,1453,363.37,377.89,40.212,0.34225
4.2737,1471.1,360.67,375.2,40.212,0.33984
4.3237,1489.1,357.98,372.53,40.212,0.33737
4.3737,1506.9,355.3,369.88,40.212,0.33499
4.4237,1524.6,352.65,367.24,40.212,0.33273
4.4737,1542.2,350.02,364.63,40.212,0.33035
4.5237,1559.6,347.41,362.03,40.212,0.32789
4.5737,1576.9,344.81,359.44,40.212,0.32551
4.6237,1594.1,342.23,356.88,40.212,0.32323
4.6737,1611.2,339.67,354.33,40.212,0.32106
4.7237,1628.1,337.12,351.79,40.212,0.31884
4.7737,1644.9,334.58,349.27,40.212,0.31661
4.8237,1661.5,332.05,346.77,40.212,0.3144
4.8737,1678.1,329.53,344.28,40.212,0.31212
4.9237,1694.5,327.03,341.81,40.212,0.30986
4.9737,1710.8,324.54,339.35,40.212,0.30761
5.0237,1727,322.08,336.91,40.212,0.3054
5.0737,1743,319.63,334.48,40.212,0.30325
5.1237,1758.9,317.19,332.06,40.212,0.30114
5.1485,1766.8,315.99,330.87,40.212,0.30008
5.1857,1778.5,314.2,329.09,40.212,0.29858
5.2357,1794.1,311.79,326.71,40.212,0.29642
5.2857,1809.7,309.38,324.34,40.212,0.29428
5.3357,1825.1,306.99,321.98,40.212,0.29217
5.3857,1840.4,304.61,319.64,40.212,0.29018
5.4357,1855.5,302.24,317.3,40.212,0.28818
5.4857,1870.6,299.89,314.99,40.212,0.2861
5.5357,1885.5,297.55,312.68,40.212,0.2841
5.5857,1900.3,295.23,310.39,40.212,0.28205
5.6357,1915,292.92,308.11,40.212,0.28001
5.6857,1929.6,290.62,305.84,40.212,0.27796
5.7357,1944.1,288.32,303.59,40.212,0.27586
5.7857,1958.5,286.04,301.34,40.212,0.27388
5.8357,1972.7,283.76,299.11,40.212,0.27203
5.8857,1986.8,281.5,296.89,40.212,0.27021
5.9357,2000.9,279.25,294.68,40.212,0.26816
5.9857,2014.8,277.01,292.48,40.212,0.26607
6.0357,2028.6,274.77,290.3,40.212,0.26407
6.0857,2042.2,272.55,288.12,40.212,0.26213
6.1357,2055.8,270.34,285.96,40.212,0.26012
6.1857,2069.3,268.14,283.81,40.212,0.25817
6.2357,2082.6,265.95,281.67,40.212,0.25633
6.2857,2095.9,263.78,279.54,40.212,0.25459
6.3357,2109,261.61,277.42,40.212,0.2528
6.3857,2122,259.46,275.31,40.212,0.251
6.4357,2135,257.31,273.21,40.212,0.24906
6.4857,2147.8,255.16,271.11,40.212,0.24711
6.5357,2160.5,253.02,269.03,40.212,0.24527
6.5857,2173.1,250.88,266.96,40.212,0.24346
6.6357,2185.6,248.75,264.9,40.212,0.24154
6.6857,2197.9,246.64,262.85,40.212,0.23963
6.7357,2210.2,244.54,260.81,40.212,0.23776
6.7857,2222.4,242.44,258.79,40.212,0.23583
6.8357,2234.5,240.36,256.77,40.212,0.23389
6.8857,2246.4,238.29,254.76,40.212,0.23211
6.9357,2258.3,236.24,252.76,40.212,0.23051
6.9857,2270.1,234.19,250.77,40.212,0.22872
7.0357,2281.7,232.14,248.78,40.212,0.22697
7.0857,2293.3,230.1,246.81,40.212,0.22528
7.1357,2304.7,228.07,244.85,40.212,0.22363
7.1857,2316.1,226.04,242.89,40.212,0.222
7.2357,2327.3,224.01,240.94,40.212,0.22036
7.2857,2338.5,221.99,239,40.212,0.2186
7.3357,2349.5,219.97,237.07,40.212,0.2168
7.3857,2360.5,217.96,235.15,40.212,0.21523
7.4357,2371.3,215.96,233.23,40.212,0.2136
7.4857,2382.1,213.97,231.33,40.212,0.21196
7.5357,2392.7,211.99,229.43,40.212,0.21036
7.5857,2403.3,210.02,227.54,40.212,0.20858
7.6357,2413.7,208.06,225.66,40.212,0.20692
7.6857,2424.1,206.11,223.79,40.212,0.20523
7.7357,2434.3,204.16,221.93,40.212,0.2036
7.7857,2444.5,202.21,220.07,40.212,0.20195
7.8357,2454.6,200.27,218.23,40.212,0.20027
7.8857,2464.5,198.33,216.39,40.212,0.1984
7.9357,2474.4,196.39,214.56,40.212,0.1968
7.9857,2484.2,194.46,212.73,40.212,0.19538
8.0357,2493.8,192.54,210.92,40.212,0.19351
8.0857,2503.4,190.62,209.11,40.212,0.1918
8.1357,2512.9,188.71,207.31,40.212,0.19004
8.1857,2522.3,186.81,205.52,40.212,0.18838
8.2357,2531.6,184.91,203.74,40.212,0.18672
8.2857,2540.8,183.03,201.97,40.212,0.18526
8.3357,2549.9,181.15,200.2,40.212,0.18389
8.3857,2558.9,179.28,198.45,40.212,0.18234
8.4357,2567.8,177.42,196.69,40.212,0.18082
8.4857,2576.6,175.56,194.95,40.212,0.1794
8.5357,2585.4,173.71,193.21,40.212,0.17779
8.5857,2594,171.85,191.49,40.212,0.17605
8.6357,2602.6,170,189.77,40.212,0.17445
8.6857,2611,168.14,188.05,40.212,0.17284
8.7357,2619.4,166.29,186.35,40.212,0.17125
8.7857,2627.6,164.44,184.65,40.212,0.16966
8.8357,2635.8,162.6,182.96,40.212,0.16805
8.8857,2643.9,160.76,181.28,40.212,0.16664
8.9357,2651.9,158.94,179.6,40.212,0.16512
8.9857,2659.8,157.12,177.94,40.212,0.1635
9.0357,2667.6,155.3,176.28,40.212,0.16214
9.0857,2675.3,153.5,174.63,40.212,0.16072
9.1357,2683,151.7,172.99,40.212,0.15926
9.1857,2690.5,149.91,171.35,40.212,0.15797
9.2357,2697.9,148.12,169.73,40.212,0.15663
9.2857,2705.3,146.34,168.1,40.212,0.15527
9.3357,2712.6,144.56,166.49,40.212,0.15381
9.3857,2719.8,142.78,164.89,40.212,0.15248
9.4357,2726.9,141.01,163.29,40.212,0.15118
9.4857,2733.9,139.23,161.7,40.212,0.14999
9.5357,2740.8,137.46,160.12,40.212,0.14862
9.5857,2747.6,135.69,158.54,40.212,0.14754
9.6357,2754.3,133.92,156.97,40.212,0.14609
9.6857,2761,132.15,155.41,40.212,0.14453
9.7357,2767.6,130.39,153.86,40.212,0.14316
9.7857,2774,128.62,152.32,40.212,0.14176
9.8357,2780.4,126.86,150.79,40.212,0.14039
9.8857,2786.7,125.11,149.26,40.212,0.13905
9.9357,2792.9,123.35,147.74,40.212,0.13777
9.9857,2799.1,121.61,146.23,40.212,0.1365
10.036,2805.1,119.87,144.73,40.212,0.13518
10.086,2811,118.14,143.24,40.212,0.13393
10.136,2816.9,116.41,141.76,40.212,0.13272
10.186,2822.7,114.69,140.29,40.212,0.13154
10.236,2828.4,112.97,138.82,40.212,0.13031
10.286,2834,111.25,137.37,40.212,0.12903
10.336,2839.5,109.54,135.92,40.212,0.12756
10.386,2844.9,107.83,134.49,40.212,0.12632
10.436,2850.3,106.12,133.06,40.212,0.125
10.486,2855.6,104.42,131.64,40.212,0.12367
10.536,2860.7,102.71,130.24,40.212,0.12235
10.586,2865.8,101.01,128.84,40.212,0.12116
10.636,2870.8,99.307,127.46,40.212,0.11982
10.686,2875.8,97.606,126.08,40.212,0.11834
10.736,2880.6,95.907,124.72,40.212,0.11707
10.786,2885.3,94.211,123.36,40.212,0.11596
10.836,2890,92.518,122.02,40.212,0.11468
10.886,2894.6,90.828,120.69,40.212,0.11356
10.936,2899.1,89.141,119.37,40.212,0.11227
10.986,2903.5,87.457,118.06,40.212,0.11119
11.036,2907.8,85.778,116.77,40.212,0.11029
11.086,2912.1,84.103,115.49,40.212,0.10921
11.136,2916.3,82.432,114.22,40.212,0.10809
11.186,2920.3,80.763,112.96,40.212,0.10702
11.236,2924.3,79.098,111.71,40.212,0.10581
11.286,2928.2,77.434,110.48,40.212,0.10461
11.336,2932.1,75.772,109.27,40.212,0.10351
11.386,2935.8,74.113,108.06,40.212,0.10228
11.436,2939.5,72.455,106.87,40.212,0.10104
11.486,2943.1,70.799,105.7,40.212,0.099954
11.536,2946.6,69.145,104.54,40.212,0.098889
11.586,2950,67.493,103.4,40.212,0.098
11.636,2953.3,65.844,102.27,40.212,0.096906
11.686,2956.6,64.198,101.16,40.212,0.096297
11.736,2959.7,62.555,100.07,40.212,0.095462
11.786,2962.8,60.915,98.991,40.212,0.09465
11.836,2965.8,59.278,97.931,40.212,0.093979
11.886,2968.7,57.643,96.888,40.212,0.092791
11.936,2971.6,56.009,95.864,40.212,0.091789
11.986,2974.3,54.377,94.859,40.212,0.090915
12.036,2977,52.746,93.873,40.212,0.090188
12.086,2979.6,51.119,92.907,40.212,0.089642
12.136,2982.1,49.493,91.961,40.212,0.088441
12.186,2984.6,47.868,91.036,40.212,0.087588
12.236,2986.9,46.245,90.132,40.212,0.087054
12.286,2989.2,44.626,89.25,40.212,0.086641
12.336,2991.4,43.009,88.39,40.212,0.086122
12.386,2993.5,41.395,87.552,40.212,0.085452
12.436,2995.5,39.782,86.738,40.212,0.084615
12.486,2997.5,38.17,85.948,40.212,0.083712
12.536,2999.3,36.56,85.183,40.212,0.083021
12.586,3001.1,34.951,84.443,40.212,0.082586
12.636,3002.8,33.345,83.728,40.212,0.082072
12.686,3004.5,31.741,83.04,40.212,0.08115
12.736,3006,30.138,82.379,40.212,0.0807
12.786,3007.5,28.537,81.745,40.212,0.080201
12.836,3008.9,26.938,81.138,40.212,0.079862
12.886,3010.2,25.342,80.56,40.212,0.079301
12.936,3011.4,23.747,80.01,40.212,0.078897
12.986,3012.5,22.155,79.49,40.212,0.078746
13.036,3013.6,20.566,78.998,40.212,0.078558
13.086,3014.6,18.978,78.537,40.212,0.078294
13.136,3015.5,17.393,78.106,40.212,0.078141
13.186,3016.3,15.81,77.706,40.212,0.07752
13.236,3017.1,14.227,77.337,40.212,0.076932
13.286,3017.8,12.646,77.001,40.212,0.076511
13.336,3018.4,11.066,76.698,40.212,0.076121
13.386,3018.9,9.4879,76.426,40.212,0.075665
13.436,3019.3,7.9111,76.188,40.212,0.07549
13.486,3019.7,6.3364,75.982,40.212,0.075561
13.536,3019.9,4.7636,75.809,40.212,0.075424
13.586,3020.1,3.1926,75.669,40.212,0.075514
13.636,3020.3,1.6236,75.562,40.212,0.075563
13.686,3020.3,0.056203,75.488,40.212,0.075557
13.736,3020.3,-1.5096,75.446,40.212,0.075759
13.786,3020.2,-3.0738,75.438,40.212,0.075535
13.836,3020,-4.6369,75.464,40.212,0.075875
13.886,3019.7,-6.1983,75.521,40.212,0.076118
13.936,3019.3,-7.7586,75.612,40.212,0.076231
13.986,3018.9,-9.3178,75.735,40.212,0.076398
14.036,3018.4,-10.876,75.891,40.212,0.076601
14.086,3017.8,-12.433,76.079,40.212,0.076809
14.136,3017.2,-13.99,76.299,40.212,0.076985
14.186,3016.4,-15.546,76.55,40.212,0.077062
14.236,3015.6,-17.1,76.833,40.212,0.076861
14.286,3014.7,-18.655,77.147,40.212,0.077125
14.336,3013.7,-20.208,77.492,40.212,0.07733
14.386,3012.7,-21.761,77.867,40.212,0.077261
14.436,3011.6,-23.313,78.271,40.212,0.07744
14.486,3010.4,-24.864,78.705,40.212,0.077595
14.536,3009.1,-26.414,79.167,40.212,0.077998
14.586,3007.7,-27.965,79.657,40.212,0.07898
14.636,3006.3,-29.516,80.173,40.212,0.079647
14.686,3004.8,-31.067,80.717,40.212,0.079945
14.736,3003.2,-32.618,81.287,40.212,0.080314
14.786,3001.5,-34.168,81.882,40.212,0.080743
14.836,2999.8,-35.719,82.502,40.212,0.081277
14.886,2997.9,-37.269,83.147,40.212,0.081615
14.936,2996,-38.819,83.816,40.212,0.082168
14.986,2994.1,-40.368,84.508,40.212,0.082722
15.036,2992,-41.918,85.222,40.212,0.083166
15.086,2989.9,-43.468,85.958,40.212,0.083992
15.136,2987.7,-45.018,86.716,40.212,0.08485
15.186,2985.4,-46.569,87.494,40.212,0.085262
15.236,2983,-48.119,88.292,40.212,0.08568
15.286,2980.5,-49.668,89.11,40.212,0.086335
15.336,2978,-51.217,89.947,40.212,0.086801
15.386,2975.4,-52.765,90.802,40.212,0.087323
15.436,2972.8,-54.313,91.675,40.212,0.087986
15.486,2970,-55.861,92.565,40.212,0.088803
15.536,2967.2,-57.409,93.472,40.212,0.089889
15.586,2964.3,-58.959,94.394,40.212,0.090736
15.636,2961.3,-60.508,95.332,40.212,0.091568
15.686,2958.2,-62.057,96.285,40.212,0.092577
15.736,2955.1,-63.607,97.252,40.212,0.09352
15.786,2951.8,-65.157,98.233,40.212,0.094236
15.836,2948.5,-66.705,99.227,40.212,0.094729
15.886,2945.2,-68.25,100.23,40.212,0.095281
15.936,2941.7,-69.794,101.25,40.212,0.096157
15.986,2938.2,-71.338,102.29,40.212,0.097185
16.036,2934.6,-72.881,103.33,40.212,0.098086
16.086,2930.9,-74.423,104.38,40.212,0.099305
16.136,2927.1,-75.967,105.45,40.212,0.10038
16.186,2923.3,-77.509,106.52,40.212,0.10124
16.236,2919.4,-79.049,107.61,40.212,0.1024
16.286,2915.4,-80.589,108.7,40.212,0.10302
16.336,2911.3,-82.125,109.8,40.212,0.10366
16.386,2907.2,-83.658,110.92,40.212,0.10463
16.436,2903,-85.19,112.04,40.212,0.1056
16.486,2898.7,-86.719,113.16,40.212,0.10637
16.536,2894.3,-88.247,114.3,40.212,0.10751
16.586,2889.8,-89.774,115.44,40.212,0.10862
16.636,2885.3,-91.299,116.59,40.212,0.10962
16.686,2880.7,-92.823,117.75,40.212,0.11055
16.736,2876,-94.345,118.91,40.212,0.11161
16.786,2871.3,-95.866,120.08,40.212,0.11261
16.836,2866.5,-97.387,121.26,40.212,0.1138
16.886,2861.5,-98.908,122.44,40.212,0.1149
16.936,2856.6,-100.43,123.62,40.212,0.11577
16.986,2851.5,-101.95,124.81,40.212,0.11684
17.036,2846.4,-103.47,126.01,40.212,0.11817
17.086,2841.2,-104.98,127.21,40.212,0.11927
17.136,2835.9,-106.5,128.41,40.212,0.12018
17.186,2830.5,-108.01,129.62,40.212,0.12129
17.236,2825.1,-109.52,130.83,40.212,0.1223
17.286,2819.6,-111.03,132.05,40.212,0.12359
17.336,2814,-112.53,133.26,40.212,0.12477
17.386,2808.3,-114.03,134.49,40.212,0.12601
17.436,2802.6,-115.52,135.71,40.212,0.12719
17.486,2796.7,-117.01,136.94,40.212,0.12833
17.536,2790.9,-118.49,138.17,40.212,0.1295
17.586,2784.9,-119.97,139.4,40.212,0.13072
17.636,2778.9,-121.45,140.63,40.212,0.13159
17.686,2772.8,-122.92,141.86,40.212,0.13267
17.736,2766.6,-124.38,143.1,40.212,0.13365
17.786,2760.3,-125.84,144.34,40.212,0.13469
17.836,2754,-127.3,145.58,40.212,0.13564
17.886,2747.6,-128.75,146.82,40.212,0.13643
17.936,2741.1,-130.2,148.06,40.212,0.13755
17.986,2734.6,-131.66,149.31,40.212,0.13863
18.036,2727.9,-133.11,150.55,40.212,0.13971
18.086,2721.3,-134.57,151.8,40.212,0.14078
18.136,2714.5,-136.03,153.05,40.212,0.14177
18.186,2707.7,-137.49,154.3,40.212,0.14273
18.236,2700.7,-138.94,155.55,40.212,0.14381
18.286,2693.8,-140.4,156.8,40.212,0.14485
18.336,2686.7,-141.86,158.06,40.212,0.14596
18.386,2679.6,-143.31,159.31,40.212,0.1469
18.436,2672.4,-144.76,160.56,40.212,0.14812
18.486,2665.1,-146.2,161.82,40.212,0.14934
18.536,2657.8,-147.64,163.07,40.212,0.15032
18.586,2650.3,-149.07,164.32,40.212,0.1512
18.636,2642.8,-150.49,165.58,40.212,0.15221
18.686,2635.3,-151.9,166.83,40.212,0.15335
18.736,2627.7,-153.3,168.08,40.212,0.15442
18.786,2620,-154.7,169.33,40.212,0.15566
18.836,2612.2,-156.09,170.58,40.212,0.15683
18.886,2604.3,-157.49,171.83,40.212,0.15801
18.936,2596.4,-158.88,173.07,40.212,0.1592
18.986,2588.5,-160.28,174.32,40.212,0.16035
19.036,2580.4,-161.68,175.57,40.212,0.16141
19.086,2572.3,-163.08,176.81,40.212,0.16251
19.136,2564.1,-164.48,178.05,40.212,0.16377
19.186,2555.8,-165.88,179.3,40.212,0.16506
19.236,2547.5,-167.28,180.54,40.212,0.16634
19.286,2539.1,-168.68,181.78,40.212,0.16741
19.336,2530.6,-170.07,183.02,40.212,0.16864
19.386,2522.1,-171.45,184.25,40.212,0.16958
19.436,2513.5,-172.82,185.49,40.212,0.17068
19.486,2504.8,-174.18,186.72,40.212,0.17183
19.536,2496.1,-175.53,187.95,40.212,0.1729
19.586,2487.3,-176.87,189.18,40.212,0.17398
19.636,2478.4,-178.2,190.4,40.212,0.175
19.686,2469.5,-179.52,191.62,40.212,0.17598
19.736,2460.4,-180.84,192.84,40.212,0.17696
19.786,2451.4,-182.17,194.06,40.212,0.17813
19.836,2442.2,-183.5,195.28,40.212,0.17921
19.886,2433,-184.83,196.49,40.212,0.1802
19.936,2423.7,-186.17,197.71,40.212,0.18115
19.986,2414.4,-187.52,198.92,40.212,0.18222
20.03,2406.1,-188.71,200,40.212,0.18319
20.07,2398.5,-189.79,200.96,40.212,0.18405
20.109,2391.1,-190.83,201.9,40.212,0.18488
20.148,2383.6,-191.88,202.85,40.212,0.1857
20.19,2375.4,-193.01,203.87,40.212,0.18647
20.24,2365.8,-194.33,205.07,40.212,0.18757
20.29,2356,-195.63,206.27,40.212,0.18855
20.34,2346.2,-196.91,207.46,40.212,0.18944
20.383,2337.8,-197.99,208.48,40.212,0.19028
20.42,2330.4,-198.93,209.36,40.212,0.19106
20.455,2323.4,-199.81,210.19,40.212,0.19183
20.491,2316.2,-200.72,211.04,40.212,0.19259
20.529,2308.5,-201.67,211.94,40.212,0.19342
20.571,2300.1,-202.73,212.93,40.212,0.19442
20.617,2290.7,-203.9,214.02,40.212,0.19548
20.661,2281.8,-205.01,215.04,40.212,0.19631
20.698,2274.2,-205.97,215.92,40.212,0.19708
20.73,2267.5,-206.8,216.68,40.212,0.19773
20.761,2261.3,-207.58,217.38,40.212,0.19831
20.79,2255.2,-208.33,218.06,40.212,0.19885
20.819,2249.1,-209.08,218.74,40.212,0.1995
20.847,2243.1,-209.82,219.41,40.212,0.20018
20.875,2237.3,-210.53,220.05,40.212,0.20073
20.903,2231.3,-211.26,220.71,40.212,0.2013
20.933,2225,-212.02,221.41,40.212,0.20205
20.963,2218.7,-212.77,222.1,40.212,0.20274
20.993,2212.2,-213.52,222.79,40.212,0.20339
21.024,2205.7,-214.28,223.49,40.212,0.20405
21.053,2199.4,-215,224.17,40.212,0.20469
21.081,2193.4,-215.67,224.8,40.212,0.20522
21.106,2188,-216.27,225.38,40.212,0.20573
21.13,2182.9,-216.83,225.91,40.212,0.20625
21.152,2178,-217.36,226.42,40.212,0.20674
21.174,2173.3,-217.87,226.91,40.212,0.20715
21.195,2168.7,-218.35,227.38,40.212,0.20753
21.215,2164.3,-218.82,227.84,40.212,0.20788
21.235,2160,-219.28,228.28,40.212,0.20821
21.254,2155.7,-219.73,228.72,40.212,0.20855
21.274,2151.5,-220.19,229.15,40.212,0.20893
21.293,2147.1,-220.65,229.6,40.212,0.20932
21.314,2142.6,-221.13,230.05,40.212,0.20972
21.334,2138.1,-221.62,230.51,40.212,0.21013
21.354,2133.6,-222.11,230.97,40.212,0.21053
21.374,2129.2,-222.59,231.42,40.212,0.2109
21.393,2125,-223.04,231.84,40.212,0.21125
21.41,2121.1,-223.47,232.22,40.212,0.21155
21.427,2117.5,-223.87,232.59,40.212,0.2118
21.442,2114,-224.25,232.93,40.212,0.21204
21.456,2110.8,-224.61,233.25,40.212,0.21229
21.47,2107.6,-224.96,233.56,40.212,0.21255
21.484,2104.7,-225.29,233.86,40.212,0.21279
21.496,2101.8,-225.61,234.14,40.212,0.21303
21.509,2099,-225.92,234.41,40.212,0.21328
21.521,2096.3,-226.22,234.68,40.212,0.21353
21.533,2093.6,-226.51,234.93,40.212,0.21378
21.544,2091,-226.8,235.19,40.212,0.21402
21.555,2088.5,-227.08,235.43,40.212,0.21424
21.566,2085.9,-227.36,235.67,40.212,0.21445
21.577,2083.4,-227.63,235.91,40.212,0.21465
21.588,2080.9,-227.9,236.15,40.212,0.21485
21.599,2078.4,-228.17,236.39,40.212,0.21505
21.61,2075.9,-228.43,236.63,40.212,0.21524
21.621,2073.4,-228.7,236.86,40.212,0.21542
21.632,2070.9,-228.96,237.1,40.212,0.21561
21.643,2068.5,-229.22,237.33,40.212,0.21579
21.654,2066,-229.47,237.57,40.212,0.21599
21.664,2063.5,-229.72,237.8,40.212,0.21621
21.675,2061.1,-229.97,238.03,40.212,0.21643
21.685,2058.7,-230.21,238.25,40.212,0.21664
21.696,2056.3,-230.44,238.47,40.212,0.21685
21.706,2054,-230.67,238.68,40.212,0.21706
21.715,2051.8,-230.88,238.89,40.212,0.21726
21.725,2049.6,-231.09,239.09,40.212,0.21745
21.734,2047.4,-231.29,239.28,40.212,0.21763
21.743,2045.4,-231.48,239.47,40.212,0.21781
21.752,2043.4,-231.66,239.65,40.212,0.21798
21.76,2041.5,-231.83,239.82,40.212,0.21814
21.768,2039.6,-231.99,239.99,40.212,0.21829
21.776,2037.8,-232.15,240.14,40.212,0.21843
21.783,2036.1,-232.3,240.29,40.212,0.21857
21.79,2034.4,-232.44,240.44,40.212,0.21871
21.797,2032.8,-232.57,240.58,40.212,0.21883
21.804,2031.2,-232.7,240.72,40.212,0.21895
21.81,2029.7,-232.82,240.84,40.212,0.21905
21.817,2028.3,-232.94,240.97,40.212,0.21915
21.823,2026.8,-233.05,241.09,40.212,0.21925
21.829,2025.4,-233.16,241.21,40.212,0.21934
21.835,2024.1,-233.27,241.32,40.212,0.21943
21.84,2022.8,-233.37,241.43,40.212,0.21952
21.846,2021.5,-233.46,241.53,40.212,0.21961
21.851,2020.2,-233.56,241.64,40.212,0.21969
21.857,2019,-233.65,241.74,40.212,0.21978
21.862,2017.8,-233.74,241.83,40.212,0.21987
21.867,2016.6,-233.83,241.93,40.212,0.21995
21.872,2015.4,-233.91,242.02,40.212,0.22003
21.877,2014.3,-233.99,242.11,40.212,0.22011
21.881,2013.3,-234.07,242.19,40.212,0.22018
21.885,2012.2,-234.14,242.27,40.212,0.22025
21.889,2011.3,-234.21,242.35,40.212,0.22032
21.893,2010.4,-234.27,242.41,40.212,0.22038
21.897,2009.5,-234.34,242.48,40.212,0.22044
21.9,2008.7,-234.39,242.54,40.212,0.22049
21.904,2008,-234.45,242.6,40.212,0.22054
21.907,2007.2,-234.5,242.66,40.212,0.22059
21.91,2006.5,-234.55,242.71,40.212,0.22063
21.913,2005.9,-234.6,242.76,40.212,0.22067
21.915,2005.2,-234.64,242.8,40.212,0.22071
21.918,2004.6,-234.69,242.85,40.212,0.22075
21.92,2004,-234.73,242.89,40.212,0.22079
21.923,2003.4,-234.77,242.93,40.212,0.22083
21.925,2002.9,-234.81,242.98,40.212,0.22086
21.928,2002.3,-234.85,243.02,40.212,0.2209
21.93,2001.7,-234.9,243.06,40.212,0.22093
21.933,2001.1,-234.94,243.1,40.212,0.22097
21.935,2000.5,-234.98,243.14,40.212,0.221
21.938,1999.9,-235.02,243.19,40.212,0.22104
21.94,1999.3,-235.06,243.23,40.212,0.22107
21.943,1998.8,-235.11,243.27,40.212,0.22111
21.945,1998.2,-235.15,243.31,40.212,0.22114
21.948,1997.6,-235.19,243.35,40.212,0.22117
21.95,1997,-235.23,243.39,40.212,0.22121
21.953,1996.4,-235.28,243.43,40.212,0.22124
21.955,1995.8,-235.32,243.46,40.212,0.22127
21.958,1995.2,-235.36,243.5,40.212,0.2213
21.96,1994.6,-235.41,243.54,40.212,0.22133
21.963,1994,-235.45,243.58,40.212,0.22136
21.965,1993.5,-235.49,243.61,40.212,0.22139
21.968,1992.9,-235.54,243.65,40.212,0.22141
21.97,1992.3,-235.58,243.69,40.212,0.22144
21.973,1991.7,-235.63,243.72,40.212,0.22147
21.975,1991.1,-235.67,243.76,40.212,0.2215
21.978,1990.5,-235.72,243.79,40.212,0.22152
21.98,1989.9,-235.76,243.82,40.212,0.22155
21.983,1989.3,-235.81,243.85,40.212,0.22157
21.985,1988.7,-235.85,243.88,40.212,0.22159
21.988,1988.2,-235.9,243.91,40.212,0.22161
21.99,1987.6,-235.94,243.94,40.212,0.22164
21.993,1987,-235.99,243.97,40.212,0.22165
21.995,1986.4,-236.04,244,40.212,0.22167
21.998,1985.8,-236.08,244.02,40.212,0.22169
22,1985.2,-236.13,244.04,40.212,0.2217
22.003,1984.6,-236.17,244.07,40.212,0.22172
22.005,1984,-236.22,244.08,40.212,0.22173
22.008,1983.4,-236.26,244.1,40.212,0.22174
22.01,1982.8,-236.31,244.11,40.212,0.22175
22.013,1982.3,-236.35,244.12,40.212,0.22175
22.015,1981.7,-236.39,244.12,40.212,0.22175
22.018,1981.1,-236.42,244.12,40.212,0.22174
22.02,1980.5,-236.45,244.11,40.212,0.22172
22.023,1979.9,-236.41,244.05,40.212,0.22166
